orderid,userid,bikeid,biketype,starttime,endtime,start_x,start_y,end_x,end_y
3428602,140756,354271,1,2017-05-10 00:00:10,2017-05-10 00:04:02,116.367874,39.951096,116.359634,39.951096
4580017,693933,459074,1,2017-05-10 00:00:11,2017-05-10 00:02:24,116.351395,39.970322,116.348648,39.973068
4117589,482046,420604,1,2017-05-10 00:00:11,2017-05-10 00:09:05,116.312943,39.756088,116.330795,39.753342
2851526,895961,300008,2,2017-05-10 00:00:23,2017-05-10 00:02:20,116.476364,39.868698,116.477737,39.864578
1421519,84838,165558,2,2017-05-10 00:00:23,2017-05-10 00:03:10,116.436539,39.953842,116.433792,39.957962
2780838,1018307,293542,2,2017-05-10 00:00:24,2017-05-10 00:09:10,116.369247,39.98542800000001,116.359634,39.995041
2567012,503506,273844,2,2017-05-10 00:00:24,2017-05-10 00:06:07,116.587601,39.769821,116.577988,39.765701
2866932,824842,301409,2,2017-05-10 00:00:25,2017-05-10 00:04:32,116.215439,39.864578,116.220932,39.856339
3332866,881368,345126,1,2017-05-10 00:00:30,2017-05-10 00:04:55,116.354141,40.000534,116.350021,40.004654
2613197,801959,278195,2,2017-05-10 00:00:37,2017-05-10 00:07:31,116.525803,39.920883,116.531296,39.91951
1423784,282412,165792,2,2017-05-10 00:00:37,2017-05-10 00:07:58,116.474991,39.938736,116.484604,39.933243
4278271,868826,435269,1,2017-05-10 00:00:38,2017-05-10 00:07:03,116.429672,39.843979,116.425552,39.854965
285635,958222,39987,1,2017-05-10 00:00:42,2017-05-10 00:02:10,116.421432,39.797287,116.421432,39.79454000000001
532060,837440,72191,1,2017-05-10 00:00:52,2017-05-10 00:01:52,116.319809,39.955215,116.317062,39.953842
5201191,912572,514852,1,2017-05-10 00:00:56,2017-05-10 00:02:59,116.237411,39.900284,116.236038,39.897537
4387137,529955,443899,1,2017-05-10 00:01:00,2017-05-10 00:07:54,116.414566,39.853592,116.431046,39.849472
4953446,1043428,489393,1,2017-05-10 00:01:01,2017-05-10 00:04:28,116.443405,39.93187,116.442032,39.935989
3744654,69590,384605,1,2017-05-10 00:01:01,2017-05-10 00:03:17,116.354141,39.92775,116.348648,39.92775
3852120,587620,395116,1,2017-05-10 00:01:06,2017-05-10 00:05:50,116.376114,39.926376,116.370621,39.933243
664525,495770,89333,1,2017-05-10 00:01:12,2017-05-10 00:02:37,116.365128,39.834366,116.367874,39.832993
4824670,831858,479406,1,2017-05-10 00:01:15,2017-05-10 00:06:59,116.323929,39.986801,116.33628799999998,39.98542800000001
3010460,881770,314927,1,2017-05-10 00:01:18,2017-05-10 00:05:01,116.49971,39.935989,116.501083,39.93049600000001
2761381,192528,291723,2,2017-05-10 00:01:20,2017-05-10 00:07:24,116.29509,39.914017,116.289597,39.920883
2504824,92,268066,2,2017-05-10 00:01:22,2017-05-10 00:05:39,116.363754,39.864578,116.359634,39.870071
966289,864754,123447,2,2017-05-10 00:01:25,2017-05-10 00:02:26,116.506577,39.93187,116.50795,39.93049600000001
3631731,23673,373864,1,2017-05-10 00:01:35,2017-05-10 00:05:21,116.442032,39.986801,116.433792,39.98542800000001
2402705,503870,258590,2,2017-05-10 00:01:39,2017-05-10 00:19:09,116.488724,39.850845,116.485977,39.848099
2336287,337630,252331,2,2017-05-10 00:01:40,2017-05-10 00:04:50,116.406326,39.933243,116.409073,39.929123
3298209,886401,341982,1,2017-05-10 00:01:50,2017-05-10 00:05:55,116.39946,39.784927,116.411819,39.783554
223157,302078,32391,1,2017-05-10 00:01:50,2017-05-10 00:09:52,116.455765,39.92363,116.450272,39.937363
4449723,693610,448779,1,2017-05-10 00:01:51,2017-05-10 00:17:50,116.374741,39.942856,116.410446,39.933243
2959053,522239,309992,1,2017-05-10 00:01:57,2017-05-10 00:06:00,116.696091,40.099411,116.689224,40.104904
4098257,462429,418793,1,2017-05-10 00:01:59,2017-05-10 00:05:30,116.547775,39.813766,116.549149,39.808273
1195011,914454,144634,2,2017-05-10 00:02:02,2017-05-10 00:04:51,116.333542,39.750595,116.333542,39.746475
4958915,216735,489805,1,2017-05-10 00:02:02,2017-05-10 00:06:56,116.410446,39.988174,116.413193,39.984055
555777,62550,75391,1,2017-05-10 00:02:04,2017-05-10 00:05:12,116.321182,39.841232,116.319809,39.845352
4121949,555058,421035,1,2017-05-10 00:02:06,2017-05-10 00:03:21,116.28685,39.850845,116.284103,39.849472
1270560,825774,151547,2,2017-05-10 00:02:07,2017-05-10 00:04:50,116.347275,39.953842,116.347275,39.949722
4908378,631607,485965,1,2017-05-10 00:02:14,2017-05-10 00:10:22,116.328049,39.956589,116.318436,39.967575
3364832,230180,348231,1,2017-05-10 00:02:16,2017-05-10 00:03:16,116.590347,39.91951,116.588974,39.918137
4911286,515961,486195,1,2017-05-10 00:02:18,2017-05-10 00:06:45,116.325302,40.034866,116.330795,40.028
