orderid,userid,bikeid,count_bike,start_time,end_time,start_location_x,start_location_y,end_location_x,end_location_y
31290,4044,19170,0,2016/8/1 0:00,2016/8/1 0:34,121.401,31.28,121.426,31.241
31291,4604,122357,0,2016/8/1 0:00,2016/8/1 0:18,121.506,31.267,121.486,31.272
31289,1229,79699,0,2016/8/1 0:00,2016/8/1 0:10,121.525,31.316,121.52,31.309
31295,2816,124122,0,2016/8/1 0:01,2016/8/1 0:13,121.459,31.192,121.45,31.186
31293,215,124146,0,2016/8/1 0:01,2016/8/1 0:12,121.459,31.192,121.45,31.186
31299,7114,10636,0,2016/8/1 0:02,2016/8/1 0:08,121.468,31.197,121.472,31.192
31301,7044,76402,0,2016/8/1 0:16,2016/8/1 0:33,121.508,31.268,121.512,31.264
31320,5185,86295,0,2016/8/1 0:16,2016/8/1 0:31,121.484,31.218000000000004,121.488,31.23
31312,4395,107448,0,2016/8/1 0:16,2016/8/1 0:21,121.432,31.29300000000001,121.429,31.3
31300,3251,5756,0,2016/8/1 0:16,2016/8/1 0:23,121.46,31.197,121.468,31.201
31315,8045,48817,0,2016/8/1 0:16,2016/8/1 0:47,121.49,31.235,121.488,31.262
31309,7296,75522,0,2016/8/1 0:16,2016/8/1 0:42,121.439,31.196,121.426,31.224
31324,4614,120041,0,2016/8/1 0:16,2016/8/1 0:42,121.474,31.215,121.466,31.192
31314,6831,88522,0,2016/8/1 0:16,2016/8/1 0:36,121.51,31.295,121.489,31.279
31321,3015,49239,0,2016/8/1 0:16,2016/8/1 0:29,121.455,31.256,121.473,31.253
31317,5377,122454,0,2016/8/1 0:16,2016/8/1 0:34,121.487,31.227,121.495,31.212
31305,7017,69651,0,2016/8/1 0:16,2016/8/1 0:28,121.455,31.256,121.473,31.253
31304,5851,21741,0,2016/8/1 0:16,2016/8/1 0:37,121.481,31.25,121.485,31.27
31326,41,119307,0,2016/8/1 0:17,2016/8/1 0:55,121.406,31.21,121.41,31.209
31322,1739,109929,0,2016/8/1 0:17,2016/8/1 0:31,121.507,31.302,121.493,31.294
31323,1401,53492,0,2016/8/1 0:17,2016/8/1 0:24,121.444,31.314,121.455,31.318
31325,3747,66511,0,2016/8/1 0:17,2016/8/1 0:21,121.429,31.246,121.427,31.251
31335,5910,105903,0,2016/8/1 0:22,2016/8/1 0:32,121.538,31.326,121.536,31.333
31353,2854,123686,0,2016/8/1 0:22,2016/8/1 0:48,121.36,31.241,121.383,31.246
31347,4407,14137,0,2016/8/1 0:22,2016/8/1 0:39,121.411,31.226,121.433,31.218000000000004
31329,7130,82298,0,2016/8/1 0:22,2016/8/1 0:37,121.451,31.269,121.472,31.273000000000003
31344,7679,83894,0,2016/8/1 0:22,2016/8/1 1:36,121.533,31.202,121.536,31.206
31339,4028,61752,0,2016/8/1 0:22,2016/8/1 1:20,121.519,31.141,121.509,31.179
31331,3369,480,0,2016/8/1 0:22,2016/8/1 0:28,121.448,31.192,121.459,31.196
31332,686,23716,0,2016/8/1 0:22,2016/8/1 0:30,121.463,31.181,121.459,31.189
31333,2879,24662,0,2016/8/1 0:22,2016/8/1 0:34,121.411,31.233,121.414,31.235
31327,3200,75068,0,2016/8/1 0:22,2016/8/1 5:06,121.445,31.224,121.462,31.218000000000004
31340,834,124708,0,2016/8/1 0:22,2016/8/1 0:38,121.524,31.29300000000001,121.531,31.288
31341,3563,100257,0,2016/8/1 0:22,2016/8/1 0:53,121.522,31.28,121.513,31.275
31330,8110,107595,0,2016/8/1 0:22,2016/8/1 0:52,121.465,31.257,121.418,31.264
31346,1042,124677,0,2016/8/1 0:22,2016/8/1 1:11,121.425,31.286,121.422,31.283
31349,5416,87088,0,2016/8/1 0:22,2016/8/1 0:28,121.365,31.25,121.357,31.249
31351,7989,48121,0,2016/8/1 0:22,2016/8/1 0:29,121.49,31.235,121.476,31.231
31343,2349,22855,0,2016/8/1 0:22,2016/8/1 0:26,121.471,31.193,121.468,31.197
31355,759,79699,1,2016/8/1 0:23,2016/8/1 0:32,121.52,31.309,121.525,31.316
31356,1097,110898,0,2016/8/1 0:23,2016/8/1 0:28,121.518,31.281,121.517,31.274
31363,76,124695,0,2016/8/1 0:23,2016/8/1 0:28,121.528,31.231,121.524,31.236
31364,5354,43206,0,2016/8/1 0:23,2016/8/1 0:36,121.467,31.318,121.464,31.305
31371,1103,124759,0,2016/8/1 0:23,2016/8/1 0:28,121.431,31.217,121.425,31.219
31359,7100,52694,0,2016/8/1 0:23,2016/8/1 0:41,121.464,31.268,121.459,31.264
31372,5554,40947,0,2016/8/1 0:23,2016/8/1 0:34,121.43,31.262,121.444,31.257
31382,3330,112120,0,2016/8/1 0:24,2016/8/1 0:36,121.474,31.336,121.491,31.345
31373,7419,7498,0,2016/8/1 0:24,2016/8/1 0:34,121.428,31.261,121.432,31.251
31370,5467,124740,0,2016/8/1 0:24,2016/8/1 0:32,121.431,31.136,121.447,31.138
31377,5292,124703,0,2016/8/1 0:24,2016/8/1 0:52,121.407,31.213,121.415,31.212
31379,6579,36738,0,2016/8/1 0:24,2016/8/1 0:33,121.49,31.311,121.481,31.314
31388,1440,33279,0,2016/8/1 0:25,2016/8/1 0:40,121.505,31.294,121.517,31.309
31391,1820,108449,0,2016/8/1 0:25,2016/8/1 1:02,121.515,31.302,121.449,31.279
31389,6248,28823,0,2016/8/1 0:25,2016/8/1 0:40,121.413,31.201,121.401,31.212
31394,6260,24,0,2016/8/1 0:25,2016/8/1 0:28,121.536,31.206,121.538,31.205
31390,5591,48136,0,2016/8/1 0:25,2016/8/1 0:31,121.439,31.233,121.429,31.236
31400,8089,82493,0,2016/8/1 0:25,2016/8/1 0:35,121.454,31.199,121.452,31.204
31393,2327,61168,0,2016/8/1 0:25,2016/8/1 0:30,121.405,31.267,121.409,31.269
31399,7624,90486,0,2016/8/1 0:25,2016/8/1 1:12,121.483,31.218000000000004,121.428,31.262
31395,2541,85386,0,2016/8/1 0:25,2016/8/1 2:12,121.49,31.305,121.348,31.289
31401,5463,3060,0,2016/8/1 0:26,2016/8/1 0:41,121.375,31.107,121.387,31.103
31396,6818,17062,0,2016/8/1 0:26,2016/8/1 0:37,121.483,31.253,121.479,31.261
31402,6873,99503,0,2016/8/1 0:26,2016/8/1 0:36,121.403,31.19,121.411,31.191
31409,3400,119128,0,2016/8/1 0:31,2016/8/1 1:02,121.494,31.302,121.526,31.323
31417,5410,123808,0,2016/8/1 0:31,2016/8/1 0:56,121.399,31.248,121.407,31.25
31405,5908,12504,0,2016/8/1 0:31,2016/8/1 0:39,121.458,31.19400000000001,121.46,31.197
31412,3047,72967,0,2016/8/1 0:31,2016/8/1 0:41,121.445,31.305,121.452,31.315
31414,5664,81604,0,2016/8/1 0:31,2016/8/1 0:36,121.43,31.289,121.429,31.29300000000001
31419,7741,60885,0,2016/8/1 0:31,2016/8/1 0:42,121.396,31.229,121.402,31.237
31420,4584,70768,0,2016/8/1 0:31,2016/8/1 0:55,121.54,31.272,121.561,31.286
31418,7940,86449,0,2016/8/1 0:31,2016/8/1 0:57,121.428,31.217,121.404,31.248
31422,5061,114325,0,2016/8/1 0:31,2016/8/1 0:50,121.437,31.134,121.453,31.126
31425,3976,38170,0,2016/8/1 0:32,2016/8/1 0:39,121.44,31.317,121.441,31.325
31430,1107,61148,0,2016/8/1 0:32,2016/8/1 0:50,121.494,31.34800000000001,121.479,31.333
31423,4666,43119,0,2016/8/1 0:32,2016/8/1 0:52,121.528,31.263,121.531,31.282
31429,2457,61052,0,2016/8/1 0:32,2016/8/1 0:36,121.531,31.32800000000001,121.533,31.324
31404,6047,84004,0,2016/8/1 0:32,2016/8/1 0:40,121.513,31.267,121.523,31.27
31432,4531,101401,0,2016/8/1 0:32,2016/8/1 0:43,121.46,31.316,121.461,31.308000000000003
31437,2812,37296,0,2016/8/1 0:32,2016/8/1 0:40,121.377,31.188,121.369,31.181
31428,3929,116511,0,2016/8/1 0:32,2016/8/1 0:40,121.322,31.298,121.319,31.309
31441,3874,8765,0,2016/8/1 0:33,2016/8/1 0:39,121.433,31.304,121.431,31.303
31444,7571,91228,0,2016/8/1 0:33,2016/8/1 2:19,121.474,31.224,121.427,31.29300000000001
31434,8450,84241,0,2016/8/1 0:33,2016/8/1 0:42,121.368,31.185,121.366,31.181
31438,2193,116238,0,2016/8/1 0:33,2016/8/1 0:46,121.434,31.249,121.427,31.26
31443,6440,29249,0,2016/8/1 0:33,2016/8/1 1:30,121.42,31.214,121.442,31.244
31439,7065,93486,0,2016/8/1 0:33,2016/8/1 0:52,121.5,31.237,121.511,31.222
31446,3293,55918,0,2016/8/1 0:33,2016/8/1 0:45,121.481,31.225,121.487,31.207
31452,5417,75634,0,2016/8/1 0:35,2016/8/1 0:59,121.531,31.318,121.543,31.295
31450,6290,110316,0,2016/8/1 0:35,2016/8/1 1:00,121.429,31.206,121.442,31.196
31455,5114,115749,0,2016/8/1 0:35,2016/8/1 0:40,121.436,31.136,121.442,31.135
31457,8102,116421,0,2016/8/1 0:36,2016/8/1 0:44,121.457,31.264,121.461,31.257
31461,2912,94429,0,2016/8/1 0:36,2016/8/1 0:44,121.498,31.269,121.492,31.267
31456,6433,32253,0,2016/8/1 0:36,2016/8/1 0:46,121.438,31.163,121.439,31.164
31468,7949,124791,0,2016/8/1 0:42,2016/8/1 0:46,121.478,31.206,121.482,31.207
31466,5605,8143,0,2016/8/1 0:42,2016/8/1 1:12,121.485,31.214,121.445,31.186
31465,6768,97910,0,2016/8/1 0:42,2016/8/1 1:09,121.467,31.27,121.477,31.251
31488,935,116424,0,2016/8/1 0:43,2016/8/1 0:48,121.483,31.253,121.476,31.252
31474,5105,74537,0,2016/8/1 0:43,2016/8/1 1:45,121.49,31.231,121.409,31.18
31477,5475,82201,0,2016/8/1 0:43,2016/8/1 0:51,121.49,31.318,121.488,31.315
31472,7432,13215,0,2016/8/1 0:43,2016/8/1 0:54,121.459,31.195,121.46,31.19400000000001
31481,2762,116279,0,2016/8/1 0:43,2016/8/1 1:07,121.515,31.308000000000003,121.532,31.33
31479,7812,112969,0,2016/8/1 0:43,2016/8/1 0:47,121.476,31.303,121.479,31.3
31480,1183,61084,0,2016/8/1 0:43,2016/8/1 0:53,121.387,31.103,121.393,31.099
31482,3673,44592,0,2016/8/1 0:43,2016/8/1 0:55,121.409,31.185,121.392,31.179
31491,7212,38964,0,2016/8/1 0:43,2016/8/1 1:49,121.422,31.217,121.452,31.289
31475,627,88707,0,2016/8/1 0:43,2016/8/1 1:05,121.515,31.308000000000003,121.54,31.318
31471,5580,107445,0,2016/8/1 0:43,2016/8/1 1:00,121.406,31.269,121.395,31.261
31487,7031,44578,0,2016/8/1 0:43,2016/8/1 0:55,121.41,31.185,121.392,31.179
31492,3741,102157,0,2016/8/1 0:44,2016/8/1 1:10,121.458,31.18,121.471,31.2
31498,7638,82493,1,2016/8/1 0:44,2016/8/1 1:01,121.452,31.204,121.454,31.199
31495,1508,103384,0,2016/8/1 0:44,2016/8/1 0:57,121.531,31.312,121.518,31.309
31485,2154,123910,0,2016/8/1 0:44,2016/8/1 0:52,121.495,31.216,121.499,31.21
31494,3939,17728,0,2016/8/1 0:44,2016/8/1 1:05,121.449,31.233,121.455,31.23
31496,717,101395,0,2016/8/1 0:44,2016/8/1 0:54,121.403,31.147,121.401,31.138
31500,6115,116400,0,2016/8/1 0:45,2016/8/1 0:52,121.476,31.299,121.471,31.308000000000003
31505,7570,122636,0,2016/8/1 0:45,2016/8/1 1:00,121.466,31.279,121.478,31.274
31504,7390,26393,0,2016/8/1 0:45,2016/8/1 1:17,121.424,31.225,121.454,31.22300000000001
31502,6667,36158,0,2016/8/1 0:45,2016/8/1 1:21,121.528,31.266,121.51,31.253
31501,3161,124746,0,2016/8/1 0:45,2016/8/1 1:03,121.357,31.255,121.356,31.256
31509,6418,104043,0,2016/8/1 0:46,2016/8/1 1:18,121.464,31.267,121.446,31.305
31506,3660,99217,0,2016/8/1 0:46,2016/8/1 1:00,121.41,31.245,121.433,31.244
31511,5003,124707,0,2016/8/1 0:46,2016/8/1 0:55,121.369,31.192,121.372,31.189
31508,4756,26060,0,2016/8/1 0:46,2016/8/1 1:17,121.424,31.225,121.454,31.22300000000001
31515,7071,81389,0,2016/8/1 0:47,2016/8/1 0:59,121.497,31.262,121.505,31.271
31513,2970,61168,1,2016/8/1 0:47,2016/8/1 1:01,121.41,31.269,121.407,31.266
31514,4972,108219,0,2016/8/1 0:47,2016/8/1 1:05,121.479,31.27,121.46,31.257
31516,7462,100371,0,2016/8/1 0:47,2016/8/1 0:55,121.427,31.303,121.431,31.294
31517,85,94488,0,2016/8/1 0:47,2016/8/1 1:00,121.47,31.279,121.477,31.274
31524,7717,96680,0,2016/8/1 0:48,2016/8/1 1:00,121.412,31.354,121.427,31.351
31526,5174,113124,0,2016/8/1 0:48,2016/8/1 1:18,121.394,31.19400000000001,121.425,31.221
31520,2777,100234,0,2016/8/1 0:48,2016/8/1 1:05,121.541,31.318,121.538,31.329
31523,6389,106978,0,2016/8/1 0:48,2016/8/1 0:56,121.48,31.312,121.484,31.311
31525,5766,89205,0,2016/8/1 0:48,2016/8/1 0:59,121.421,31.196,121.417,31.2
31521,5762,92137,0,2016/8/1 0:48,2016/8/1 1:14,121.394,31.178,121.353,31.176
31527,76,124695,1,2016/8/1 0:49,2016/8/1 0:56,121.524,31.236,121.52,31.233
31530,7057,38722,0,2016/8/1 0:49,2016/8/1 1:06,121.5,31.226,121.48,31.244
31529,5651,81222,0,2016/8/1 0:49,2016/8/1 1:30,121.545,31.285,121.535,31.324
31536,565,107396,0,2016/8/1 0:50,2016/8/1 1:00,121.431,31.20300000000001,121.442,31.196
31535,2410,85751,0,2016/8/1 0:50,2016/8/1 1:00,121.467,31.208,121.469,31.204
31532,7312,25923,0,2016/8/1 0:50,2016/8/1 1:17,121.368,31.21,121.372,31.209
31531,2562,91310,0,2016/8/1 0:50,2016/8/1 1:08,121.48,31.333,121.493,31.35
31537,4605,12930,0,2016/8/1 0:50,2016/8/1 1:09,121.424,31.16800000000001,121.444,31.175
31539,2418,44195,0,2016/8/1 0:52,2016/8/1 0:57,121.478,31.2,121.471,31.199
31540,7066,112334,0,2016/8/1 0:53,2016/8/1 1:11,121.427,31.172,121.434,31.173
31548,5301,124818,0,2016/8/1 0:53,2016/8/1 1:00,121.372,31.167,121.374,31.162
31545,558,124723,0,2016/8/1 0:53,2016/8/1 1:22,121.545,31.308000000000003,121.531,31.331
31544,2636,17569,0,2016/8/1 0:53,2016/8/1 1:01,121.423,31.208,121.424,31.209
31550,572,95510,0,2016/8/1 0:54,2016/8/1 1:11,121.441,31.314,121.455,31.323
31549,3364,101533,0,2016/8/1 0:54,2016/8/1 1:05,121.379,31.254,121.374,31.241
31558,1943,73570,0,2016/8/1 0:57,2016/8/1 1:07,121.38,31.186,121.372,31.182
31559,2098,13806,0,2016/8/1 0:57,2016/8/1 1:05,121.475,31.213,121.481,31.221
31556,2023,107363,0,2016/8/1 0:57,2016/8/1 2:30,121.48,31.20300000000001,121.484,31.204
31557,1557,41246,0,2016/8/1 0:57,2016/8/1 1:02,121.507,31.282,121.501,31.275
31564,1383,101807,0,2016/8/1 0:58,2016/8/1 1:10,121.546,31.314,121.541,31.32800000000001
31563,7053,114464,0,2016/8/1 0:58,2016/8/1 1:16,121.473,31.22300000000001,121.445,31.224
31560,5124,99779,0,2016/8/1 0:58,2016/8/1 1:02,121.44,31.247,121.442,31.242
31567,1143,120313,0,2016/8/1 0:59,2016/8/1 1:41,121.479,31.282,121.464,31.25
31565,5973,6128,0,2016/8/1 0:59,2016/8/1 1:50,121.423,31.25,121.386,31.205
31572,3196,104356,0,2016/8/1 1:00,2016/8/1 1:09,121.386,31.314,121.375,31.316
31571,7401,5123,0,2016/8/1 1:00,2016/8/1 1:14,121.405,31.204,121.424,31.221
31576,6524,104542,0,2016/8/1 1:01,2016/8/1 1:22,121.545,31.312,121.531,31.331
31579,5353,21158,0,2016/8/1 1:01,2016/8/1 1:05,121.495,31.313,121.496,31.309
31574,3914,55410,0,2016/8/1 1:01,2016/8/1 1:08,121.512,31.272,121.513,31.279
31573,5554,40947,1,2016/8/1 1:01,2016/8/1 1:02,121.444,31.257,121.443,31.256
31577,6610,115800,0,2016/8/1 1:01,2016/8/1 1:31,121.537,31.269,121.54,31.261
31575,579,9029,0,2016/8/1 1:01,2016/8/1 1:10,121.417,31.18,121.411,31.181
31583,8073,110032,0,2016/8/1 1:02,2016/8/1 1:39,121.451,31.183000000000003,121.481,31.201
31581,4622,64570,0,2016/8/1 1:02,2016/8/1 1:18,121.534,31.321,121.513,31.311
31580,5615,124830,0,2016/8/1 1:02,2016/8/1 1:04,121.538,31.296,121.539,31.297
31578,337,21160,0,2016/8/1 1:02,2016/8/1 1:05,121.495,31.313,121.496,31.309
31582,7760,27545,0,2016/8/1 1:03,2016/8/1 1:19,121.545,31.217,121.529,31.22
31584,7353,116408,0,2016/8/1 1:03,2016/8/1 1:18,121.533,31.331,121.538,31.31
31586,2811,75679,0,2016/8/1 1:04,2016/8/1 1:11,121.525,31.317,121.516,31.311
31585,4916,65619,0,2016/8/1 1:04,2016/8/1 1:10,121.521,31.291,121.524,31.285
31587,5554,40947,2,2016/8/1 1:04,2016/8/1 1:19,121.443,31.256,121.43,31.27
31589,610,61157,0,2016/8/1 1:05,2016/8/1 1:12,121.521,31.324,121.525,31.322
31593,4831,81625,0,2016/8/1 1:06,2016/8/1 1:15,121.486,31.208,121.495,31.215
31592,6367,124835,0,2016/8/1 1:06,2016/8/1 1:35,121.522,31.317,121.51,31.308000000000003
31591,5080,27167,0,2016/8/1 1:06,2016/8/1 1:37,121.346,31.25800000000001,121.368,31.252
31590,3250,113094,0,2016/8/1 1:06,2016/8/1 1:26,121.538,31.271,121.513,31.266
31595,7323,51538,0,2016/8/1 1:09,2016/8/1 1:30,121.353,31.243,121.348,31.261
31597,6794,124831,0,2016/8/1 1:09,2016/8/1 1:19,121.529,31.335,121.537,31.331
31596,7733,48135,0,2016/8/1 1:10,2016/8/1 1:14,121.484,31.285,121.488,31.282
31614,7252,14631,0,2016/8/1 1:11,2016/8/1 1:18,121.493,31.209,121.491,31.208
31606,5432,121853,0,2016/8/1 1:11,2016/8/1 1:29,121.453,31.21,121.434,31.237
31612,3922,119464,0,2016/8/1 1:11,2016/8/1 1:21,121.528,31.318,121.536,31.311
31608,7449,109420,0,2016/8/1 1:11,2016/8/1 2:04,121.555,31.244,121.519,31.229
31613,5069,26116,0,2016/8/1 1:11,2016/8/1 1:24,121.475,31.33,121.486,31.338
31610,7581,80480,0,2016/8/1 1:11,2016/8/1 1:16,121.482,31.286,121.475,31.283
31604,7335,102521,0,2016/8/1 1:11,2016/8/1 1:20,121.448,31.235,121.446,31.238000000000003
31603,2707,8091,0,2016/8/1 1:11,2016/8/1 1:22,121.528,31.279,121.541,31.281
31609,5313,124721,0,2016/8/1 1:11,2016/8/1 2:31,121.405,31.251,121.49,31.239
31618,6968,28503,0,2016/8/1 1:12,2016/8/1 1:32,121.459,31.192,121.452,31.169
31616,7270,104886,0,2016/8/1 1:12,2016/8/1 1:26,121.478,31.228,121.477,31.235
31619,6615,823,0,2016/8/1 1:13,2016/8/1 1:21,121.473,31.202,121.465,31.207
31620,1617,19363,0,2016/8/1 1:13,2016/8/1 1:29,121.409,31.143,121.407,31.129
31622,7394,104893,0,2016/8/1 1:14,2016/8/1 1:29,121.495,31.227,121.476,31.235
31625,2592,90962,0,2016/8/1 1:15,2016/8/1 1:22,121.431,31.35,121.425,31.345
31626,8556,124848,0,2016/8/1 1:15,2016/8/1 2:33,121.49,31.244,121.504,31.254
31623,3312,79833,0,2016/8/1 1:15,2016/8/1 1:28,121.424,31.225,121.426,31.222
31629,6108,105780,0,2016/8/1 1:16,2016/8/1 1:24,121.512,31.275,121.509,31.274
31630,7201,111050,0,2016/8/1 1:17,2016/8/1 2:07,121.395,31.208,121.481,31.22300000000001
31634,1743,114262,0,2016/8/1 1:18,2016/8/1 1:30,121.4,31.279,121.399,31.278
31632,1834,102466,0,2016/8/1 1:18,2016/8/1 1:22,121.527,31.32800000000001,121.529,31.334
31633,6172,41445,0,2016/8/1 1:18,2016/8/1 1:28,121.398,31.232,121.41,31.235
31635,2077,50954,0,2016/8/1 1:19,2016/8/1 1:39,121.436,31.318,121.44,31.302
31643,8049,21940,0,2016/8/1 1:20,2016/8/1 1:37,121.48,31.207,121.465,31.21
31644,6574,119021,0,2016/8/1 1:20,2016/8/1 1:39,121.46,31.323,121.441,31.331
31641,2538,124856,0,2016/8/1 1:20,2016/8/1 1:24,121.4,31.248,121.401,31.246
31642,7031,3438,0,2016/8/1 1:20,2016/8/1 1:49,121.392,31.179,121.462,31.198
31645,6378,78767,0,2016/8/1 1:21,2016/8/1 1:24,121.518,31.31,121.513,31.311
31647,5892,146,0,2016/8/1 1:22,2016/8/1 1:29,121.445,31.195,121.44,31.189
31650,5554,40947,3,2016/8/1 1:23,2016/8/1 1:36,121.426,31.272,121.421,31.264
31653,7114,107390,0,2016/8/1 1:23,2016/8/1 1:30,121.473,31.198,121.479,31.20300000000001
31651,1571,101777,0,2016/8/1 1:23,2016/8/1 1:28,121.375,31.244,121.381,31.243
31657,6462,27606,0,2016/8/1 1:24,2016/8/1 1:37,121.482,31.213,121.474,31.209
31655,5284,76423,0,2016/8/1 1:24,2016/8/1 2:31,121.406,31.26,121.49,31.239
31658,6665,104609,0,2016/8/1 1:25,2016/8/1 1:27,121.539,31.32800000000001,121.537,31.33
31662,7172,57988,0,2016/8/1 1:25,2016/8/1 1:30,121.496,31.279,121.493,31.282
31660,1910,14750,0,2016/8/1 1:25,2016/8/1 1:39,121.431,31.183000000000003,121.441,31.191
31666,7544,119799,0,2016/8/1 1:26,2016/8/1 1:41,121.481,31.226,121.479,31.206
31664,6092,53555,0,2016/8/1 1:26,2016/8/1 1:33,121.443,31.237,121.449,31.239
31670,6168,124708,1,2016/8/1 1:27,2016/8/1 1:41,121.531,31.287,121.519,31.291
31667,5742,95376,0,2016/8/1 1:27,2016/8/1 1:41,121.531,31.287,121.518,31.291
31669,1891,46185,0,2016/8/1 1:27,2016/8/1 1:36,121.466,31.267,121.468,31.263
31671,5029,4958,0,2016/8/1 1:27,2016/8/1 1:35,121.456,31.337,121.447,31.331
31672,5096,53046,0,2016/8/1 1:27,2016/8/1 1:33,121.546,31.279,121.556,31.277
31673,7823,124861,0,2016/8/1 1:27,2016/8/1 2:33,121.49,31.243,121.504,31.254
31675,2476,33337,0,2016/8/1 1:29,2016/8/1 1:35,121.495,31.276,121.492,31.27
31678,2327,38917,0,2016/8/1 1:30,2016/8/1 1:47,121.409,31.269,121.419,31.292
31679,3883,4395,0,2016/8/1 1:31,2016/8/1 1:50,121.445,31.26,121.458,31.268
31681,5274,124865,0,2016/8/1 1:33,2016/8/1 1:50,121.444,31.26,121.458,31.268
31680,1673,17736,0,2016/8/1 1:33,2016/8/1 1:46,121.532,31.314,121.541,31.324
31682,4594,102564,0,2016/8/1 1:34,2016/8/1 1:41,121.411,31.288,121.401,31.291
31683,7239,70860,0,2016/8/1 1:34,2016/8/1 1:46,121.44,31.235,121.449,31.228
31688,5201,107321,0,2016/8/1 1:36,2016/8/1 2:14,121.423,31.211,121.399,31.248
31690,7657,5516,0,2016/8/1 1:36,2016/8/1 1:49,121.498,31.269,121.486,31.279
31689,7807,98963,0,2016/8/1 1:36,2016/8/1 2:12,121.423,31.211,121.428,31.249
31692,4314,15069,0,2016/8/1 1:37,2016/8/1 1:40,121.458,31.192,121.455,31.19
31691,1629,122440,0,2016/8/1 1:37,2016/8/1 1:52,121.419,31.292,121.403,31.309
31693,1056,107611,0,2016/8/1 1:39,2016/8/1 1:42,121.412,31.299,121.408,31.3
31694,7738,55888,0,2016/8/1 1:40,2016/8/1 1:42,121.455,31.331,121.452,31.33
31698,6339,115995,0,2016/8/1 1:40,2016/8/1 1:53,121.501,31.212,121.496,31.21
31699,7394,123245,0,2016/8/1 1:40,2016/8/1 2:24,121.476,31.235,121.487,31.281
31695,4349,43847,0,2016/8/1 1:40,2016/8/1 2:06,121.498,31.218000000000004,121.45,31.2
31704,3704,113260,0,2016/8/1 1:41,2016/8/1 3:06,121.469,31.324,121.404,31.286
31700,3916,31544,0,2016/8/1 1:41,2016/8/1 1:50,121.55,31.268,121.555,31.27
31702,2476,33337,1,2016/8/1 1:41,2016/8/1 1:48,121.492,31.27,121.495,31.276
31706,77,102468,0,2016/8/1 1:42,2016/8/1 1:52,121.542,31.267,121.545,31.272
31708,7636,9330,0,2016/8/1 1:42,2016/8/1 2:04,121.429,31.204,121.437,31.191
31707,3084,113275,0,2016/8/1 1:43,2016/8/1 2:01,121.411,31.289,121.399,31.281
31712,1317,118964,0,2016/8/1 1:44,2016/8/1 1:50,121.48,31.34,121.473,31.338
31710,7540,124870,0,2016/8/1 1:44,2016/8/1 1:55,121.536,31.206,121.541,31.214
31713,2637,23885,0,2016/8/1 1:45,2016/8/1 2:09,121.424,31.169,121.382,31.155
31715,6948,124765,0,2016/8/1 1:45,2016/8/1 1:54,121.388,31.275,121.401,31.28
31723,7066,33452,0,2016/8/1 1:47,2016/8/1 2:18,121.434,31.173,121.427,31.126
31719,7341,110004,0,2016/8/1 1:47,2016/8/1 2:50,121.45,31.225,121.436,31.252
31721,1776,124879,0,2016/8/1 1:47,2016/8/1 2:05,121.536,31.32800000000001,121.542,31.333
31722,1088,124881,0,2016/8/1 1:47,2016/8/1 1:54,121.405,31.299,121.407,31.298
