307179,30
"116.469498,39.878311","116.47224399999999,39.870071",326,1357,"['116.469497,39.878403;116.469978,39.878403', '116.469978,39.878398;116.470009,39.879323;116.470009,39.879323;116.470013,39.879418', '116.470013,39.879418;116.470512,39.879418;116.470512,39.879418;116.470716,39.879418;116.470716,39.879418;116.471098,39.879418;116.471098,39.879418;116.472023,39.87944', '116.472023,39.87944;116.472053,39.87934;116.472053,39.87934;116.472075,39.879249;116.472075,39.879249;116.472083,39.879149;116.472083,39.879149;116.472135,39.87895;116.472135,39.87895;116.472157,39.878485;116.472157,39.878485;116.472214,39.878025;116.472214,39.878025;116.472235,39.877878;116.472235,39.877878;116.47237,39.877057;116.47237,39.877057;116.472435,39.87648;116.472435,39.87648;116.472422,39.876372;116.472422,39.876372;116.472383,39.876198;116.472383,39.876198;116.472344,39.876133;116.472344,39.876133;116.472279,39.875911;116.472253,39.87569;116.472253,39.87569;116.47224,39.875582;116.472244,39.875282;116.472244,39.875282;116.47224,39.87431;116.47224,39.87431;116.472222,39.873754;116.472222,39.873754;116.472222,39.873398;116.472222,39.873398;116.472227,39.872895;116.472227,39.872895;116.472227,39.87273;116.472227,39.87273;116.472222,39.872283;116.472222,39.872283;116.472222,39.871975;116.472222,39.871975;116.472222,39.871918;116.472222,39.871918;116.472222,39.871832;116.472222,39.871832;116.472209,39.871389;116.472209,39.871389;116.472201,39.871272;116.472201,39.871272;116.472192,39.871211;116.472192,39.871211;116.47224,39.870074']"
"116.36100800000001,39.957962","116.354141,39.975815000000004",607,2530,"['116.361007,39.957956;116.361341,39.957956', '116.361341,39.957956;116.36138,39.958064', '116.36138,39.958064;116.361293,39.958064;116.361293,39.958064;116.360317,39.958069;116.360317,39.958069;116.360239,39.958069;116.360239,39.958069;116.358073,39.958073;116.358073,39.958073;116.356984,39.958073;116.356984,39.958073;116.356918,39.958073;116.356918,39.958073;116.355234,39.958095', '116.35523,39.958095;116.355187,39.959475;116.355187,39.959475;116.355174,39.960048;116.355174,39.960048;116.355165,39.960395;116.355165,39.960395;116.355143,39.961063;116.355143,39.961063;116.355126,39.961424;116.355126,39.961424;116.355104,39.961897;116.355104,39.961897;116.355052,39.962912;116.355052,39.962912;116.355,39.963802;116.355,39.963802;116.354974,39.964258;116.354974,39.964258;116.354935,39.964931;116.354935,39.964931;116.354922,39.965417;116.354922,39.965417;116.354905,39.965668;116.354905,39.965668;116.35487,39.966163;116.35487,39.966163;116.354861,39.966293;116.354861,39.966293;116.354861,39.966324;116.354861,39.966324;116.354844,39.966541;116.354844,39.966541;116.354813,39.966819;116.354813,39.966819;116.354792,39.967005;116.354792,39.967005;116.354783,39.967122;116.354783,39.967122;116.354731,39.968129;116.354731,39.968129;116.354714,39.968511;116.354714,39.968511;116.354714,39.968759;116.354714,39.968759;116.354714,39.968841;116.354714,39.968841;116.354709,39.969106;116.354709,39.969106;116.354692,39.969462;116.354692,39.969462;116.354679,39.970082;116.354679,39.970082;116.354592,39.971671;116.354592,39.971671;116.354588,39.971732;116.354588,39.971732;116.35457,39.972075;116.35457,39.972075;116.354562,39.972231;116.354562,39.972231;116.354531,39.972622;116.354531,39.972622;116.354527,39.972695;116.354527,39.972695;116.35447,39.973737;116.35447,39.973737;116.354457,39.974167;116.354457,39.974167;116.354457,39.974575;116.354418,39.974896;116.354418,39.974896;116.354401,39.975191;116.354401,39.975191;116.354388,39.975365;116.354388,39.975365;116.354366,39.975825', '116.354362,39.975825;116.354145,39.97582']"
"116.45439099999999,39.865952","116.453018,39.872818",328,1365,"['116.454418,39.865816;116.454379,39.865651;116.454379,39.865651;116.454301,39.865417', '116.454297,39.865412;116.452166,39.866975;116.452023,39.867096;116.452023,39.867096;116.451623,39.867335;116.451059,39.867626', '116.451055,39.867626;116.45105,39.867782;116.45105,39.867782;116.451146,39.868038', '116.451146,39.868038;116.450564,39.868212', '116.45056,39.868212;116.450642,39.868485;116.450642,39.868485;116.450699,39.86852;116.450699,39.86852;116.450864,39.869089;116.450864,39.869089;116.450894,39.869397;116.450894,39.869397;116.450894,39.869735;116.450894,39.869735;116.450894,39.870152;116.450894,39.870152;116.450894,39.870295;116.450894,39.870295;116.450894,39.870391;116.450894,39.870391;116.450994,39.870495;116.451003,39.871276;116.450916,39.871428;116.450916,39.871428;116.450877,39.87151;116.450877,39.87151;116.450877,39.871732;116.450877,39.871732;116.450881,39.872105;116.450881,39.872105;116.450881,39.872587;116.450881,39.872587;116.450881,39.872639;116.450881,39.872639;116.450877,39.873103;116.450877,39.873103;116.450881,39.873207;116.450881,39.873207;116.450868,39.873585', '116.450864,39.873585;116.451102,39.873585;116.451102,39.873585;116.451293,39.873585', '116.451293,39.873581;116.451293,39.873312;116.451306,39.873286;116.451359,39.873268;116.451797,39.87326;116.451797,39.87326;116.452917,39.873177;116.452956,39.873164;116.453034,39.872821']"
"116.483231,39.859085","116.477737,39.883804",865,3603,"['116.483342,39.859067;116.483264,39.85872;116.483264,39.85872;116.483234,39.858572;116.483181,39.858403;116.483116,39.858364;116.483003,39.858351;116.483003,39.858351;116.482834,39.858368;116.482834,39.858368;116.48253,39.858394;116.4825,39.85842;116.482491,39.858511;116.482448,39.858542;116.481623,39.858715;116.481623,39.858715;116.481545,39.85875;116.481532,39.858772;116.481532,39.858863;116.481532,39.858863;116.481523,39.859093', '116.481519,39.859093;116.480929,39.859206;116.480929,39.859206;116.480768,39.859249', '116.480764,39.859249;116.48076,39.859089;116.48076,39.859089;116.480707,39.858533;116.480707,39.858533;116.480655,39.858112', '116.480651,39.858108;116.477695,39.858481;116.477344,39.858537;116.477031,39.858611;116.476688,39.858741', '116.476684,39.858741;116.476745,39.85888;116.477001,39.859926;116.477001,39.859926;116.477079,39.860226;116.477118,39.860456;116.477118,39.860456;116.477279,39.861523;116.477279,39.861523;116.477283,39.861641;116.477283,39.861641;116.477339,39.862131;116.477339,39.862131;116.477422,39.862943;116.477439,39.863281;116.477439,39.863281;116.477435,39.864349;116.477435,39.864349;116.477435,39.864592;116.477396,39.8648;116.477396,39.8648;116.477365,39.865286;116.477365,39.865286;116.477357,39.865395;116.477357,39.865395;116.477344,39.865486;116.477344,39.865486;116.477335,39.865859;116.477335,39.865859;116.477335,39.866094;116.477335,39.866094;116.477335,39.866463;116.477335,39.866463;116.477335,39.866658;116.477335,39.866658;116.477361,39.866684;116.477361,39.866684;116.47737,39.867044;116.47737,39.867044;116.477335,39.867821', '116.477331,39.867821;116.477431,39.867977;116.477439,39.868472;116.477439,39.868472;116.477439,39.868698;116.477439,39.868698;116.477439,39.869054;116.477439,39.869054;116.477439,39.869722;116.477439,39.869722;116.477439,39.86977;116.477439,39.86977;116.477444,39.870126;116.477444,39.870126;116.477461,39.871267;116.477461,39.871267;116.477357,39.871267', '116.477352,39.871267;116.477361,39.871359;116.477361,39.871359;116.477361,39.872847;116.477361,39.872847;116.477361,39.873303;116.477361,39.873303;116.477361,39.873715;116.477361,39.873715;116.477361,39.873967;116.477361,39.873967;116.477361,39.875208;116.477361,39.875208;116.47737,39.876081;116.47737,39.876081;116.47737,39.876185;116.47737,39.876185;116.477391,39.877387;116.477391,39.877387;116.477391,39.877643;116.477391,39.877643;116.477391,39.878372;116.477391,39.878372;116.477391,39.87944;116.477391,39.87944;116.47753,39.879605;116.47753,39.880256;116.47753,39.880256;116.47753,39.880603;116.47753,39.880603;116.47753,39.88092;116.47753,39.88092;116.47753,39.881402;116.47753,39.881402;116.47753,39.881649;116.47753,39.881649;116.477526,39.88227;116.477526,39.88227;116.477526,39.882856;116.477526,39.882856;116.477517,39.883164;116.477365,39.883377;116.477365,39.883377;116.47737,39.88372', '116.47737,39.88372;116.477574,39.88372']"
"116.45713799999999,39.885178","116.45576499999999,39.87968400000001",166,690,"['116.457079,39.885178;116.457079,39.884957;116.457079,39.884957;116.457096,39.884761;116.457096,39.884761;116.457096,39.884627', '116.457092,39.884622;116.456181,39.884644', '116.456176,39.884644;116.456172,39.884549;116.456172,39.884549;116.456172,39.884444;116.456172,39.884444;116.456172,39.884371;116.456172,39.884371;116.456163,39.883802;116.456163,39.883802;116.456155,39.883485;116.456155,39.883485;116.456155,39.883307;116.456155,39.883307;116.45615,39.882999;116.45615,39.882999;116.45615,39.882648;116.45615,39.882648;116.456141,39.8823;116.456141,39.8823;116.456141,39.881944;116.456141,39.881944;116.456141,39.881584', '116.456137,39.88158;116.456124,39.88105;116.456124,39.88105;116.45612,39.880716;116.45612,39.880716;116.456111,39.880308;116.456111,39.880308;116.456102,39.880009;116.456102,39.880009;116.456102,39.879809', '116.456098,39.879805;116.455829,39.879805']"
"116.45713799999999,39.914017","116.450272,39.909896999999994",248,1035,"['116.457539,39.913715;116.457539,39.913451', '116.457539,39.913446;116.456597,39.913438;116.456597,39.913438;116.456523,39.913438;116.456523,39.913438;116.45569,39.913429;116.45569,39.913429;116.455647,39.913429;116.455647,39.913429;116.455629,39.913429;116.455629,39.913429;116.455326,39.913429;116.455326,39.913429;116.453859,39.913424;116.453859,39.913424;116.453698,39.913424;116.453698,39.913424;116.453585,39.913424;116.453585,39.913424;116.453194,39.913424;116.453194,39.913424;116.452539,39.913424;116.452539,39.913424;116.45151,39.913429;116.45151,39.913429;116.45148,39.913429;116.45148,39.913429;116.451076,39.913433;116.451076,39.913433;116.450386,39.913442;116.450386,39.913442;116.450295,39.913403', '116.450291,39.913398;116.450143,39.913303;116.450135,39.91303;116.450135,39.91303;116.450139,39.912357;116.450139,39.912357;116.450139,39.912062;116.450139,39.912062;116.450139,39.911719;116.450139,39.911719;116.450135,39.911315;116.450135,39.911315;116.450135,39.911155;116.450135,39.911155;116.45013,39.910742;116.45013,39.910742;116.45013,39.910239;116.45013,39.910239;116.45013,39.910191;116.45013,39.910191;116.45013,39.9099']"
"116.43928500000001,39.91127","116.43516499999998,39.904404",276,1150,"['116.439023,39.911163;116.439041,39.910391', '116.439041,39.910386;116.438937,39.910386;116.438937,39.910386;116.438845,39.910386', '116.438841,39.910386;116.438837,39.909462;116.438837,39.909462;116.438841,39.908997;116.438841,39.908997;116.438828,39.908711', '116.438824,39.908698;116.436875,39.908715;116.436875,39.908715;116.436853,39.90872;116.436853,39.90872;116.436771,39.908741;116.436619,39.908828;116.436619,39.908828;116.436237,39.90885;116.435734,39.908854;116.435734,39.908854;116.435243,39.908863;116.435243,39.908863;116.434887,39.908863', '116.434883,39.908863;116.434818,39.908655;116.434826,39.908424;116.434883,39.908303;116.434883,39.908303;116.434974,39.908194;116.435009,39.908077;116.435009,39.908077;116.435035,39.907834;116.435035,39.907834;116.435048,39.907457;116.435104,39.907218;116.435208,39.906975;116.435417,39.906623;116.43546,39.906515;116.43546,39.906515;116.435512,39.906345;116.43556,39.90602;116.43556,39.90602;116.435599,39.905725;116.435599,39.905725;116.43566,39.905243', '116.43566,39.905239;116.435543,39.905213', '116.435538,39.905208;116.435547,39.905087', '116.435547,39.905082;116.435425,39.905091', '116.435421,39.905091;116.435304,39.904931;116.435469,39.90447;116.435473,39.904453']"
"116.43516499999998,39.91539","116.45576499999999,39.912643",498,2076,"['116.435135,39.915417;116.43513,39.915664', '116.435126,39.915664;116.435247,39.915664;116.435247,39.915664;116.435339,39.915664;116.435339,39.915664;116.435621,39.91566;116.435621,39.91566;116.435781,39.91566;116.435781,39.91566;116.436276,39.915642;116.436276,39.915642;116.436506,39.915638', '116.436506,39.915634;116.436528,39.915404;116.436528,39.915404;116.436589,39.915065;116.436589,39.915065;116.436615,39.914931;116.436615,39.914931;116.436675,39.914622;116.436675,39.914622;116.43668,39.914544;116.43668,39.914544;116.436727,39.91434;116.436727,39.91434;116.436736,39.91431;116.436736,39.91431;116.43674,39.914258;116.43674,39.914258;116.436797,39.914049;116.436819,39.913715;116.436814,39.913277', '116.43681,39.913273;116.438095,39.913286;116.438095,39.913286;116.439293,39.913299;116.439293,39.913299;116.439705,39.913303;116.439705,39.913303;116.440321,39.913303;116.440321,39.913303;116.440586,39.913312;116.440586,39.913312;116.441037,39.913316;116.441037,39.913316;116.443806,39.913338;116.443806,39.913338;116.445564,39.913359;116.445564,39.913359;116.446545,39.913368;116.446545,39.913368;116.447982,39.913394;116.447982,39.913394;116.448546,39.913394;116.448546,39.913394;116.449332,39.913398;116.449332,39.913398;116.450291,39.913398;116.450291,39.913398;116.450391,39.913342;116.450391,39.913342;116.450521,39.913342;116.450521,39.913342;116.451476,39.913342;116.451476,39.913342;116.452986,39.913355;116.452986,39.913355;116.45316,39.913355;116.45316,39.913355;116.45365,39.913355;116.45365,39.913355;116.453854,39.913355;116.453854,39.913355;116.454184,39.913355;116.454184,39.913355;116.455321,39.913368;116.455321,39.913368;116.455612,39.913368', '116.455612,39.913368;116.455625,39.912708;116.455625,39.912708;116.455673,39.912708']"
"116.417313,39.901657","116.42280600000001,39.898911",192,799,"['116.417331,39.90201;116.417882,39.902001;116.417882,39.902001;116.417969,39.902001;116.417969,39.902001;116.418142,39.901988', '116.418142,39.901984;116.418194,39.901966;116.41822,39.901905;116.418251,39.901484;116.418251,39.901484;116.418255,39.901432;116.418286,39.901345;116.418424,39.901176', '116.418424,39.901172;116.418437,39.901068', '116.418437,39.901063;116.418568,39.901063;116.418568,39.901063;116.418945,39.900985;116.418945,39.900985;116.419188,39.900929;116.419188,39.900929;116.419249,39.900898;116.419605,39.900851;116.419605,39.900851;116.420165,39.900725;116.420165,39.900725;116.420677,39.900586;116.420677,39.900586;116.420781,39.90056;116.420781,39.90056;116.420898,39.900534;116.420898,39.900534;116.421211,39.900486;116.421667,39.900473', '116.421667,39.900469;116.421675,39.900234;116.421675,39.900234;116.421675,39.900065;116.421675,39.900065;116.421684,39.899965;116.421684,39.899965;116.421714,39.899405', '116.421714,39.899401;116.421979,39.899414', '116.421979,39.899414;116.421979,39.899375', '116.421979,39.899371;116.422283,39.899379;116.422283,39.899379;116.423268,39.899414', '116.423268,39.899414;116.423277,39.899284;116.423277,39.899284;116.423286,39.899175;116.423286,39.899175;116.42329,39.898971', '116.42329,39.898967;116.422808,39.898963']"
"116.40358,39.933243","116.402206,39.935989",193,804,"['116.403576,39.93342;116.403103,39.93342;116.403103,39.93342;116.403077,39.93342', '116.403073,39.933416;116.403069,39.933516', '116.403064,39.933516;116.402743,39.933516;116.402743,39.933516;116.401658,39.933511;116.401658,39.933511;116.400486,39.933507;116.400486,39.933507;116.400408,39.933507', '116.400404,39.933503;116.40036,39.933689;116.400265,39.933885;116.400117,39.934089;116.400048,39.934141;116.400048,39.934141;116.399987,39.934115', '116.399983,39.93411;116.399531,39.934518;116.39947,39.934588;116.399271,39.934918;116.39924,39.935048;116.399266,39.935417;116.39924,39.935538;116.399201,39.935638', '116.399197,39.935638;116.399939,39.935638;116.399939,39.935638;116.400603,39.935638;116.400603,39.935638;116.400734,39.935634;116.400734,39.935634;116.40102,39.935634;116.40102,39.935634;116.402201,39.935629']"
