2730,70
"116.649399,39.904404","116.645279,39.901657",172,715,"['116.649497,39.90441;116.649566,39.903954;116.649566,39.903954;116.649627,39.903576;116.649627,39.903576;116.64964,39.903459;116.64964,39.903459;116.649648,39.903056;116.649648,39.903056;116.649605,39.902361;116.649605,39.902361;116.649605,39.90227;116.649605,39.90227;116.649592,39.902066;116.649592,39.902066;116.649575,39.901918;116.649575,39.901918;116.649562,39.901636;116.649562,39.901636;116.649544,39.901224', '116.64954,39.90122;116.648524,39.901263;116.648524,39.901263;116.647891,39.901298;116.647891,39.901298;116.64783,39.901298;116.64783,39.901298;116.645938,39.901393;116.645938,39.901393;116.64526,39.901428']"
"116.646652,39.90715","116.648026,39.90303",303,1262,"['116.646662,39.907083;116.64615,39.907031;116.64615,39.907031;116.646076,39.907023;116.646076,39.907023;116.645586,39.906966;116.645586,39.906966;116.645213,39.906923;116.645213,39.906923;116.645052,39.906901;116.644983,39.906823;116.644983,39.906823;116.643776,39.906693;116.643776,39.906693;116.643789,39.906606', '116.643789,39.906602;116.643919,39.906549;116.644635,39.906623;116.644635,39.906623;116.644796,39.906636;116.644796,39.906636;116.645109,39.906671;116.645109,39.906671;116.64526,39.906688;116.64526,39.906688;116.646115,39.906784;116.646115,39.906784;116.646194,39.906793;116.646194,39.906793;116.646324,39.906801;116.647079,39.906879;116.647079,39.906879;116.647131,39.906884;116.647131,39.906884;116.64724,39.906897;116.64724,39.906897;116.647713,39.906949;116.647713,39.906949;116.648971,39.907053', '116.648971,39.907053;116.648993,39.90694;116.648993,39.90694;116.649062,39.90658;116.649062,39.90658;116.649154,39.906098;116.649184,39.906046;116.649184,39.906046;116.649245,39.905738;116.649245,39.905738;116.649314,39.905399;116.649314,39.905399;116.649405,39.905009;116.649405,39.905009;116.649444,39.90477;116.649444,39.90477;116.649566,39.903954;116.649566,39.903954;116.649627,39.903576;116.649627,39.903576;116.64964,39.903459;116.64964,39.903459;116.649648,39.903056', '116.649648,39.903051;116.648898,39.903056;116.648898,39.903056;116.648225,39.903064']"
"116.643906,39.905777","116.63703899999999,39.904404",226,943,"['116.643911,39.905777;116.643906,39.905868;116.643906,39.905868;116.643793,39.906602;116.643793,39.906602;116.643776,39.906688', '116.643772,39.906688;116.643672,39.90668;116.643672,39.90668;116.643372,39.906714;116.643268,39.906714;116.642799,39.90668;116.642799,39.90668;116.642001,39.90661;116.642001,39.90661;116.641133,39.906519;116.641133,39.906519;116.640443,39.906441;116.640443,39.906441;116.639544,39.906345;116.639544,39.906345;116.638789,39.906267;116.638789,39.906267;116.63862,39.906246;116.63862,39.906246;116.638077,39.906176;116.638077,39.906176;116.638012,39.906163;116.638012,39.906163;116.637826,39.906146;116.637339,39.906111;116.637339,39.906111;116.636775,39.906094;116.636332,39.906102', '116.636328,39.906102;116.636389,39.905977;116.636389,39.905977;116.636432,39.905903;116.636432,39.905903;116.63648,39.905812;116.63648,39.905812;116.636445,39.905747;116.636445,39.905677;116.63651,39.905503;116.636541,39.905343;116.636532,39.905286;116.636454,39.905078', '116.63645,39.905074;116.636632,39.904896;116.636632,39.904896;116.636853,39.904614;116.637014,39.904397']"
"116.63841200000002,39.904404","116.63703899999999,39.90303",176,735,"['116.638407,39.904375;116.639983,39.904249', '116.639983,39.904245;116.640013,39.90421;116.640204,39.90326;116.640204,39.90326;116.640213,39.903229;116.640213,39.903229;116.640425,39.902157;116.640412,39.902088', '116.640408,39.902083;116.639436,39.902227;116.639436,39.902227;116.638659,39.902339;116.638659,39.902339;116.63852,39.902313;116.63852,39.902313;116.638307,39.902344;116.638116,39.902422;116.637812,39.902604', '116.637808,39.902604;116.637539,39.902569;116.636975,39.902539', '116.63697,39.902535;116.636966,39.902609;116.636966,39.902609;116.636957,39.902791;116.636957,39.902791;116.636944,39.903025']"
"116.648026,39.90303","116.641159,39.904404",282,1177,"['116.64822,39.903064;116.648893,39.90306;116.648893,39.90306;116.649648,39.903056', '116.649648,39.903051;116.649644,39.903455;116.649644,39.903455;116.649631,39.903572;116.649631,39.903572;116.64957,39.90395;116.64957,39.90395;116.649449,39.904766;116.649449,39.904766;116.64941,39.905004;116.64941,39.905004;116.649319,39.905395;116.649319,39.905395;116.649249,39.905734;116.649249,39.905734;116.649188,39.906042', '116.649184,39.906042;116.648333,39.905938;116.648333,39.905938;116.647717,39.905859;116.647717,39.905859;116.647457,39.90582;116.647457,39.90582;116.646532,39.905677;116.646532,39.905677;116.64599,39.90559;116.64599,39.90559;116.645326,39.905464;116.645326,39.905464;116.645226,39.905438;116.645226,39.905438;116.644618,39.905321;116.644618,39.905321;116.644006,39.905213;116.644006,39.905213;116.64401,39.905161', '116.644019,39.905156;116.643954,39.905148', '116.64395,39.905143;116.643945,39.905204;116.643945,39.905204;116.643937,39.905234', '116.643932,39.905234;116.643824,39.905247;116.643503,39.905208;116.643069,39.904931;116.642778,39.904826;116.642778,39.904826;116.642244,39.904618;116.642075,39.904579;116.642075,39.904579;116.642014,39.904566;116.642014,39.904566;116.641931,39.904553;116.641931,39.904553;116.64115,39.904475']"
"116.366501,39.896164","116.363754,39.897537",99,411,"['116.366615,39.896241;116.366658,39.896714;116.366658,39.896714;116.366675,39.896875;116.366662,39.89697', '116.366658,39.89697;116.366259,39.896988;116.366259,39.896988;116.366089,39.896988;116.366089,39.896988;116.365664,39.896988;116.365664,39.896988;116.364831,39.896975;116.364831,39.896975;116.364701,39.89697;116.364701,39.89697;116.363984,39.89697;116.363984,39.89697;116.363459,39.89697', '116.363455,39.896966;116.363424,39.897522']"
"116.363754,39.898911","116.35688799999998,39.905777",277,1155,"['116.363424,39.898911;116.363424,39.899036;116.363424,39.899036;116.363424,39.899236;116.363424,39.899236;116.363424,39.899384;116.363424,39.899384;116.363424,39.899479;116.363424,39.899479;116.363433,39.899557', '116.363433,39.899557;116.363307,39.899635;116.363307,39.899635;116.363207,39.899635;116.363207,39.899635;116.362865,39.899631;116.362865,39.899631;116.362561,39.899622;116.362561,39.899622;116.362383,39.899614;116.362383,39.899614;116.362118,39.899609;116.362118,39.899609;116.361658,39.899588;116.361658,39.899588;116.361597,39.899588;116.361597,39.899588;116.361155,39.899575;116.361155,39.899575;116.360794,39.899557;116.360794,39.899557;116.360551,39.899566;116.360369,39.899592;116.360369,39.899592;116.360339,39.899596;116.360339,39.899596;116.360156,39.899631;116.360156,39.899631;116.359987,39.899679;116.359987,39.899679;116.359575,39.899822;116.359284,39.899948;116.359284,39.899948;116.359028,39.900082;116.358598,39.90036;116.358598,39.90036;116.358307,39.900603;116.358103,39.900799;116.357895,39.901037;116.357895,39.901037;116.357613,39.901432;116.357613,39.901432;116.357591,39.901467;116.357591,39.901467;116.357561,39.901536;116.357561,39.901536;116.35747,39.901784;116.35747,39.901784;116.357331,39.902201;116.357331,39.902201;116.357088,39.903112;116.357088,39.903112;116.357014,39.903394;116.357014,39.903394;116.356988,39.903633;116.356988,39.903633;116.356918,39.904353;116.356918,39.904353;116.356897,39.90457;116.356931,39.904913;116.356931,39.904913;116.357205,39.905469', '116.357205,39.905469;116.357187,39.905586;116.357192,39.905699;116.357049,39.90579;116.356949,39.905842']"
"116.643906,39.905777","116.648026,39.90303",263,1094,"['116.643911,39.905777;116.643906,39.905868;116.643906,39.905868;116.643793,39.906602', '116.643789,39.906602;116.643919,39.906549;116.644635,39.906623;116.644635,39.906623;116.644796,39.906636;116.644796,39.906636;116.645109,39.906671;116.645109,39.906671;116.64526,39.906688;116.64526,39.906688;116.646115,39.906784;116.646115,39.906784;116.646194,39.906793;116.646194,39.906793;116.646324,39.906801;116.647079,39.906879;116.647079,39.906879;116.647131,39.906884;116.647131,39.906884;116.64724,39.906897;116.64724,39.906897;116.647713,39.906949;116.647713,39.906949;116.648971,39.907053', '116.648971,39.907053;116.648993,39.90694;116.648993,39.90694;116.649062,39.90658;116.649062,39.90658;116.649154,39.906098;116.649184,39.906046;116.649184,39.906046;116.649245,39.905738;116.649245,39.905738;116.649314,39.905399;116.649314,39.905399;116.649405,39.905009;116.649405,39.905009;116.649444,39.90477;116.649444,39.90477;116.649566,39.903954;116.649566,39.903954;116.649627,39.903576;116.649627,39.903576;116.64964,39.903459;116.64964,39.903459;116.649648,39.903056', '116.649648,39.903051;116.648898,39.903056;116.648898,39.903056;116.648225,39.903064']"
"116.648026,39.904404","116.63841200000002,39.90303",355,1480,"['116.647938,39.904362;116.648069,39.904197;116.648069,39.904197;116.648121,39.904089;116.64816,39.903906;116.64816,39.903906;116.648229,39.903789;116.648229,39.903789;116.64826,39.903655;116.648281,39.903346;116.648225,39.903069', '116.64822,39.903064;116.648893,39.90306;116.648893,39.90306;116.649648,39.903056', '116.649648,39.903051;116.649605,39.902361;116.649605,39.902361;116.649605,39.90227;116.649605,39.90227;116.649592,39.902066;116.649592,39.902066;116.649575,39.901918;116.649575,39.901918;116.649562,39.901636;116.649562,39.901636;116.649544,39.901224', '116.64954,39.90122;116.648524,39.901263;116.648524,39.901263;116.647891,39.901298;116.647891,39.901298;116.64783,39.901298;116.64783,39.901298;116.645938,39.901393;116.645938,39.901393;116.644722,39.901458;116.644722,39.901458;116.644596,39.901467;116.644596,39.901467;116.644405,39.901497;116.644405,39.901497;116.643533,39.901623;116.643533,39.901623;116.641931,39.901858;116.641931,39.901858;116.641801,39.901875;116.641801,39.901875;116.641437,39.901931;116.641437,39.901931;116.640864,39.902023;116.640864,39.902023;116.640521,39.902075;116.640521,39.902075;116.640412,39.902083;116.640412,39.902083;116.639436,39.902227;116.639436,39.902227;116.638659,39.902339', '116.638655,39.902339;116.638255,39.902943']"
"116.63841200000002,39.90303","116.648026,39.90303",323,1345,"['116.638251,39.902943;116.638655,39.902344;116.638655,39.902344;116.638707,39.902253', '116.638707,39.902248;116.639523,39.902148;116.639523,39.902148;116.641293,39.901879;116.641293,39.901879;116.641784,39.90181;116.641784,39.90181;116.641905,39.901788;116.641905,39.901788;116.642322,39.901727;116.642322,39.901727;116.644666,39.90138;116.644666,39.90138;116.64671,39.901276;116.64671,39.901276;116.647817,39.901233;116.647817,39.901233;116.647886,39.901233;116.647886,39.901233;116.648056,39.90122;116.648056,39.90122;116.648655,39.901194;116.648655,39.901194;116.649549,39.901159', '116.649549,39.901155;116.649544,39.90122;116.649544,39.90122;116.649557,39.901632;116.649557,39.901632;116.64957,39.901914;116.64957,39.901914;116.649588,39.902062;116.649588,39.902062;116.649601,39.902266;116.649601,39.902266;116.649601,39.902357;116.649601,39.902357;116.649648,39.903051', '116.649648,39.903051;116.648898,39.903056;116.648898,39.903056;116.648225,39.903064']"
"116.63978600000002,39.904404","116.648026,39.90303",310,1292,"['116.639891,39.904427;116.639905,39.904392;116.639905,39.904392;116.639935,39.904327;116.639974,39.904288;116.639974,39.904288;116.639983,39.904249', '116.639983,39.904245;116.640065,39.904245;116.640065,39.904245;116.640174,39.904253;116.640174,39.904253;116.640981,39.904327;116.640981,39.904327;116.641523,39.904379;116.641944,39.904453;116.641944,39.904453;116.641979,39.904457;116.641979,39.904457;116.642036,39.904479;116.642036,39.904479;116.642096,39.904497;116.642096,39.904497;116.642821,39.904748;116.642821,39.904748;116.643155,39.904891;116.643507,39.905126;116.643589,39.905152;116.643941,39.905204;116.643941,39.905204;116.64395,39.905148', '116.64395,39.905143;116.644019,39.905156', '116.64401,39.905156;116.644006,39.905208;116.644006,39.905208;116.644614,39.905317;116.644614,39.905317;116.645221,39.905434;116.645221,39.905434;116.645321,39.90546;116.645321,39.90546;116.645985,39.905586;116.645985,39.905586;116.646528,39.905673;116.646528,39.905673;116.647452,39.905816;116.647452,39.905816;116.647713,39.905855;116.647713,39.905855;116.648329,39.905933;116.648329,39.905933;116.649184,39.906042', '116.649184,39.906042;116.649245,39.905738;116.649245,39.905738;116.649314,39.905399;116.649314,39.905399;116.649405,39.905009;116.649405,39.905009;116.649444,39.90477;116.649444,39.90477;116.649566,39.903954;116.649566,39.903954;116.649627,39.903576;116.649627,39.903576;116.64964,39.903459;116.64964,39.903459;116.649648,39.903056', '116.649648,39.903051;116.648898,39.903056;116.648898,39.903056;116.648225,39.903064']"
