OBJECTID,ORIG_FID,x,y
1,1,116.6698608,40.9724007
2,1,116.6722565,40.9664536
3,1,116.6746368,40.9591293
4,1,116.677948,40.9527245
5,1,116.6824493,40.9460869
6,1,116.6890793,40.9419594
7,1,116.6987534,40.9396591
8,1,116.7071991,40.9375839
9,1,116.7102127,40.9359779
10,1,116.7120132,40.933918
11,1,116.7132111,40.9307137
12,1,116.7132034,40.9284286
13,1,116.712883,40.9256859
14,1,116.7119598,40.9218025
15,1,116.7122269,40.9158554
16,1,116.7125092,40.9110565
17,1,116.7143021,40.90625
18,1,116.7166977,40.9028168
19,1,116.7212067,40.9000664
20,1,116.7281494,40.8968506
21,1,116.7344818,40.8943214
22,1,116.7447357,40.8904114
23,1,116.7507629,40.8888016
24,1,116.7576828,40.885582
25,1,116.767334,40.8809891
26,1,116.7721405,40.8789177
27,1,116.7781525,40.8743286
28,1,116.7832642,40.8699722
29,1,116.7865524,40.8647041
30,1,116.7874298,40.8603592
31,1,116.7874146,40.8578453
32,1,116.7865067,40.8553314
33,1,116.7864838,40.8509941
34,1,116.7882614,40.8475571
35,1,116.7927704,40.844574
36,1,116.7982025,40.8438759
37,1,116.8054352,40.8431664
38,1,116.8120804,40.8431473
39,1,116.8196335,40.8433533
40,1,116.8259659,40.8428802
41,1,116.8335037,40.8421707
42,1,116.8392258,40.8398666
43,1,116.8473358,40.8348083
44,1,116.8542252,40.8283844
45,1,116.8602142,40.8217392
46,1,116.8662033,40.8150902
47,1,116.8716049,40.8104973
48,1,116.8785095,40.8061333
49,1,116.8808975,40.8033829
50,1,116.8815689,40.8019447
51,1,116.8815384,40.8018951
52,1,116.8820877,40.8006325
53,1,116.8837738,40.7986946
54,1,116.8856735,40.7958221
55,1,116.8868561,40.7928467
56,1,116.8880234,40.788044
57,1,116.8904037,40.7846031
58,1,116.8927994,40.7813911
59,1,116.8955002,40.7797813
60,1,116.9015198,40.7779312
61,1,116.9057312,40.7765427
62,1,116.9096375,40.7751579
63,1,116.9138489,40.774456
64,1,116.9162369,40.771019
65,1,116.9174194,40.7685013
66,1,116.9180069,40.7664413
67,1,116.9191895,40.763237
68,1,116.9200668,40.7600327
69,1,116.9197311,40.7561493
70,1,116.9197159,40.7536354
71,1,116.9217911,40.7488251
72,1,116.9256744,40.7453842
73,1,116.9298706,40.741024
74,1,116.9349289,40.7348289
75,1,116.9427109,40.7270241
76,1,116.9519806,40.7203598
77,1,116.956459,40.7155418
78,1,116.9651489,40.710247
79,1,116.9708481,40.7074776
80,1,116.9771423,40.7033386
81,1,116.98703,40.6989517
82,1,116.99543,40.6947975
83,1,117.0029526,40.6933937
84,1,117.0107727,40.6935844
85,1,117.0195007,40.6937714
86,1,117.0270462,40.6948814
87,1,117.0348816,40.6964417
88,1,117.0424423,40.6984596
89,1,117.0520935,40.7000122
90,1,117.0608215,40.7006493
91,1,117.0671539,40.7003899
92,1,117.0737839,40.7012711
93,1,117.0813293,40.7019157
94,1,117.0879364,40.7014236
95,1,117.0984802,40.7015953
96,1,117.1044998,40.7008781
97,1,117.1114197,40.7003822
98,1,117.1219711,40.7012367
99,1,117.1282959,40.7021141
100,1,117.1346359,40.7034492
101,1,117.1418686,40.7036362
102,1,117.1502838,40.7019844
103,1,117.15448,40.7003593
104,1,117.1586685,40.6985054
105,1,117.1622696,40.6966553
106,1,117.1763992,40.6936378
107,1,117.1802979,40.6927071
108,1,117.1842117,40.692009
109,1,117.1899185,40.6910667
110,1,117.194725,40.6899033
111,1,117.1998291,40.6887398
112,1,117.2052307,40.6873398
113,1,117.2118301,40.685482
114,1,117.218132,40.6836243
115,1,117.2259369,40.6817589
116,1,117.2343369,40.6796646
117,1,117.2439423,40.6770973
118,1,117.2505417,40.6754684
119,1,117.2559586,40.6742973
120,1,117.2622528,40.6728935
121,1,117.2661591,40.6715012
122,1,117.2718353,40.6687279
123,1,117.2757263,40.6668777
124,1,117.2799225,40.6650238
125,1,117.2829132,40.6631813
126,1,117.2873993,40.6604118
127,1,117.2921982,40.6587868
128,1,117.2957993,40.6578522
129,1,117.2990875,40.6571503
130,1,117.3035965,40.6564407
131,1,117.3071976,40.655735
132,1,117.3123169,40.6561661
133,1,117.3222504,40.6570282
134,1,117.323761,40.657711
135,1,117.3264771,40.6590652
